sample_id,t,x,y
628,20.92,210.56,144.19
629,20.95,209.8,144.19
630,20.99,209.8,143.42
631,21.02,210.56,144.19
632,21.05,210.56,143.42
633,21.09,206.74,146.48
634,21.12,209.03,144.19
635,21.15,210.56,144.19
636,21.19,210.56,144.19
637,21.22,206.74,146.48
638,21.25,206.74,146.48
639,21.29,206.74,145.71
640,21.32,210.56,144.19
641,21.35,210.56,144.19
642,21.39,210.56,144.19
643,21.42,209.03,144.19
644,21.45,209.8,143.42
645,21.49,209.8,144.19
646,21.52,209.8,144.19
647,21.55,209.8,144.19
648,21.59,209.8,144.19
649,21.62,210.56,144.19
650,21.65,209.8,144.19
651,21.69,209.8,144.19
652,21.72,209.8,144.19
653,21.75,209.8,144.19
654,21.79,209.03,144.19
655,21.82,209.03,144.19
656,21.86,209.03,144.19
657,21.89,209.03,144.19
658,21.92,209.03,143.42
659,21.96,209.03,143.42
660,21.99,209.8,142.66
661,22.02,209.8,142.66
662,22.06,209.8,141.9
663,22.09,209.8,141.9
664,22.12,209.8,141.9
665,22.16,209.8,141.14
666,22.19,209.03,141.9
667,22.22,209.8,140.37
668,22.25,209.8,140.37
669,22.29,209.8,140.37
670,22.32,209.8,139.61
671,22.36,209.8,139.61
672,22.39,209.8,138.85
673,22.42,209.8,138.85
674,22.46,210.56,138.85
675,22.49,210.56,137.32
676,22.52,210.56,137.32
677,22.56,210.56,137.32
678,22.59,211.32,136.56
679,22.62,211.32,136.56
680,22.66,210.56,135.8
681,22.69,210.56,135.8
682,22.72,211.32,134.27
683,22.76,212.08,133.51
684,22.79,212.08,132.74
685,22.82,211.32,132.74
686,22.86,212.08,132.74
687,22.89,211.32,131.98
688,22.92,211.32,131.98
689,22.96,212.08,131.22
690,22.99,212.08,131.98
691,23.02,212.08,131.22
692,23.06,212.85,131.22
693,23.09,212.08,131.22
694,23.12,212.08,131.98
695,23.16,212.08,131.22
696,23.19,211.32,131.98
697,23.22,211.32,131.98
698,23.26,211.32,131.98
699,23.29,211.32,131.22
700,23.32,210.56,131.98
701,23.36,210.56,131.22
702,23.39,210.56,131.98
703,23.42,210.56,130.45
704,23.46,210.56,130.45
705,23.49,209.8,131.22
706,23.52,209.8,131.98
707,23.56,209.8,131.98
708,23.59,209.03,131.22
709,23.62,208.27,131.98
710,23.66,208.27,131.22
711,23.69,208.27,131.98
712,23.72,208.27,131.98
713,23.76,207.51,131.98
714,23.79,207.51,131.98
715,23.82,207.51,132.74
716,23.86,207.51,132.74
717,23.89,206.74,132.74
718,23.92,206.74,132.74
719,23.96,205.98,132.74
720,23.99,205.22,132.74
721,24.02,204.46,132.74
722,24.06,204.46,132.74
723,24.09,203.69,132.74
724,24.12,203.69,132.74
725,24.16,202.93,132.74
726,24.19,202.93,132.74
727,24.22,202.17,132.74
728,24.26,202.17,133.51
729,24.29,201.4,132.74
730,24.32,200.64,132.74
731,24.36,200.64,132.74
732,24.39,199.12,131.98
733,24.42,197.59,131.98
734,24.46,196.06,131.22
735,24.49,195.3,131.22
736,24.52,194.54,131.22
737,24.56,194.54,131.22
738,24.59,193.78,131.22
739,24.62,193.01,130.45
740,24.66,192.25,129.69
741,24.69,191.49,129.69
742,24.72,189.96,128.17
743,24.76,189.2,127.4
744,24.79,187.67,126.64
745,24.82,186.15,125.88
746,24.86,184.62,124.35
747,24.89,183.09,123.59
748,24.92,181.57,122.83
749,24.96,180.81,121.3
750,24.99,179.28,120.54
751,25.03,178.52,119.77
752,25.06,177.75,119.01
753,25.09,176.99,118.25
754,25.13,176.23,118.25
755,25.16,176.23,118.25
756,25.19,175.47,118.25
757,25.23,175.47,118.25
758,25.26,174.7,118.25
759,25.29,173.94,118.25
760,25.32,173.18,117.49
761,25.36,173.18,117.49
762,25.39,171.65,116.72
763,25.43,170.89,116.72
764,25.46,170.89,116.72
765,25.49,170.13,115.96
766,25.53,169.36,115.96
767,25.56,169.36,115.96
768,25.59,168.6,115.2
769,25.63,168.6,115.2
770,25.66,167.84,115.2
771,25.69,167.07,115.2
772,25.73,167.07,115.2
773,25.76,166.31,114.43
774,25.79,166.31,114.43
775,25.82,166.31,114.43
776,25.86,165.55,114.43
777,25.89,165.55,114.43
778,25.93,165.55,115.2
779,25.96,165.55,115.2
780,25.99,165.55,115.2
781,26.03,165.55,115.2
782,26.06,165.55,115.2
783,26.09,165.55,115.2
784,26.13,165.55,115.2
785,26.16,165.55,115.2
786,26.19,165.55,115.2
787,26.23,165.55,115.2
788,26.26,165.55,115.2
789,26.29,165.55,115.2
790,26.33,165.55,115.2
791,26.36,164.79,115.2
792,26.39,165.55,115.2
793,26.43,165.55,115.2
794,26.46,165.55,115.2
795,26.49,164.79,115.2
796,26.53,164.79,115.2
797,26.56,164.79,114.43
798,26.59,164.79,114.43
799,26.63,164.02,114.43
800,26.66,164.02,114.43
801,26.69,164.02,113.67
802,26.73,164.02,113.67
803,26.76,163.26,113.67
804,26.79,162.5,112.91
805,26.83,162.5,112.15
806,26.86,162.5,112.15
807,26.89,161.73,111.38
808,26.93,160.97,110.62
809,26.96,160.97,110.62
810,26.99,160.21,109.86
811,27.03,159.44,109.09
812,27.06,159.44,109.09
813,27.09,158.68,108.33
814,27.13,157.92,108.33
815,27.16,157.92,107.57
816,27.19,157.16,106.81
817,27.23,156.39,106.81
818,27.26,155.63,106.81
819,27.29,154.87,106.04
820,27.33,154.1,106.04
821,27.36,154.1,105.28
822,27.39,153.34,105.28
823,27.43,152.58,104.52
824,27.46,151.82,103.75
825,27.49,151.82,103.75
826,27.53,151.05,102.99
827,27.56,150.29,102.99
828,27.59,149.53,102.23
829,27.63,148,102.23
830,27.66,147.24,102.23
831,27.69,146.48,101.46
832,27.73,145.71,101.46
833,27.76,144.95,101.46
834,27.79,144.19,101.46
835,27.83,144.19,101.46
836,27.86,144.19,101.46
837,27.89,144.19,101.46
838,27.93,143.42,101.46
839,27.96,143.42,100.7
840,27.99,142.66,100.7
841,28.03,142.66,100.7
842,28.06,141.9,99.94
843,28.09,141.9,99.18
844,28.13,141.14,99.18
845,28.16,140.37,99.18
846,28.19,141.14,99.18
847,28.23,140.37,98.41
848,28.26,140.37,98.41
849,28.29,140.37,99.18
850,28.33,140.37,98.41
851,28.36,139.61,98.41
852,28.4,139.61,98.41
853,28.43,139.61,98.41
854,28.46,139.61,98.41
855,28.5,138.85,98.41
856,28.53,138.85,99.18
857,28.56,138.85,99.18
858,28.59,139.61,99.94
859,28.63,139.61,99.94
860,28.66,139.61,99.94
861,28.7,139.61,99.94
862,28.73,138.85,99.94
863,28.76,138.85,99.94
864,28.8,138.85,99.94
865,28.83,138.08,99.94
866,28.86,138.08,100.7
867,28.9,137.32,100.7
868,28.93,137.32,100.7
869,28.96,136.56,100.7
870,29,136.56,100.7
871,29.03,135.8,100.7
872,29.06,136.56,101.46
873,29.09,135.8,101.46
874,29.13,135.8,102.23
875,29.16,135.03,102.23
876,29.2,134.27,102.99
877,29.23,133.51,103.75
